Datetime,RPS Price
2022-08-01 00:00:00,301.65
2022-08-01 00:30:00,292.23
2022-08-01 01:00:00,283.82
2022-08-01 01:30:00,273.98
2022-08-01 02:00:00,283.88
2022-08-01 02:30:00,287.77
2022-08-01 03:00:00,261.67
2022-08-01 03:30:00,270.12
2022-08-01 04:00:00,270.59
2022-08-01 04:30:00,286.46
2022-08-01 05:00:00,307.26
2022-08-01 05:30:00,348.03
2022-08-01 06:00:00,403.02
2022-08-01 06:30:00,469.07
2022-08-01 07:00:00,519.11
2022-08-01 07:30:00,572.79
2022-08-01 08:00:00,489.94
2022-08-01 08:30:00,479.09
2022-08-01 09:00:00,491.29
2022-08-01 09:30:00,511.3
2022-08-01 10:00:00,446.85
2022-08-01 10:30:00,430.4
2022-08-01 11:00:00,426.67
2022-08-01 11:30:00,388.35
2022-08-01 12:00:00,379.23
2022-08-01 12:30:00,375.66
2022-08-01 13:00:00,367.38
2022-08-01 13:30:00,359.87
2022-08-01 14:00:00,356.92
2022-08-01 14:30:00,364.16
2022-08-01 15:00:00,364.56
2022-08-01 15:30:00,385.94
2022-08-01 16:00:00,403.46
2022-08-01 16:30:00,436.27
2022-08-01 17:00:00,513.63
2022-08-01 17:30:00,622.06
2022-08-01 18:00:00,672.45
2022-08-01 18:30:00,637.22
2022-08-01 19:00:00,574.68
2022-08-01 19:30:00,682.99
2022-08-01 20:00:00,614.63
2022-08-01 20:30:00,572.73
2022-08-01 21:00:00,541.9
2022-08-01 21:30:00,507.36
2022-08-01 22:00:00,463.86
2022-08-01 22:30:00,425.12
2022-08-01 23:00:00,383.65
2022-08-01 23:30:00,365.81
2022-08-02 00:00:00,345.44
2022-08-02 00:30:00,320.86
2022-08-02 01:00:00,316.7
2022-08-02 01:30:00,325.85
2022-08-02 02:00:00,309.42
2022-08-02 02:30:00,294.86
2022-08-02 03:00:00,292.86
2022-08-02 03:30:00,295.96
2022-08-02 04:00:00,303.2
2022-08-02 04:30:00,312.01
2022-08-02 05:00:00,329.97
2022-08-02 05:30:00,365.48
2022-08-02 06:00:00,409.42
2022-08-02 06:30:00,490.22
2022-08-02 07:00:00,565.83
2022-08-02 07:30:00,559.21
2022-08-02 08:00:00,517.68
2022-08-02 08:30:00,493.92
2022-08-02 09:00:00,496.28
2022-08-02 09:30:00,440.67
2022-08-02 10:00:00,430.47
2022-08-02 10:30:00,401.45
2022-08-02 11:00:00,367.46
2022-08-02 11:30:00,348.9
2022-08-02 12:00:00,347.24
2022-08-02 12:30:00,349.51
2022-08-02 13:00:00,338.64
2022-08-02 13:30:00,343.24
2022-08-02 14:00:00,360.35
2022-08-02 14:30:00,350.99
2022-08-02 15:00:00,366.67
2022-08-02 15:30:00,380.55
2022-08-02 16:00:00,415.72
2022-08-02 16:30:00,472.97
2022-08-02 17:00:00,553.45
2022-08-02 17:30:00,629.63
2022-08-02 18:00:00,662.01
2022-08-02 18:30:00,648.33
2022-08-02 19:00:00,644.54
2022-08-02 19:30:00,601.11
2022-08-02 20:00:00,576.01
2022-08-02 20:30:00,538.61
2022-08-02 21:00:00,482.01
2022-08-02 21:30:00,447.89
2022-08-02 22:00:00,419.83
2022-08-02 22:30:00,386.56
2022-08-02 23:00:00,352.08
2022-08-02 23:30:00,333.62
2022-08-03 00:00:00,313.07
2022-08-03 00:30:00,290.71
2022-08-03 01:00:00,291.78
2022-08-03 01:30:00,277.91
2022-08-03 02:00:00,289.19
2022-08-03 02:30:00,274.08
2022-08-03 03:00:00,266.76
2022-08-03 03:30:00,269.55
2022-08-03 04:00:00,266.17
2022-08-03 04:30:00,276.11
2022-08-03 05:00:00,297.26
2022-08-03 05:30:00,317.42
2022-08-03 06:00:00,365.81
2022-08-03 06:30:00,422.02
2022-08-03 07:00:00,466.21
2022-08-03 07:30:00,505.76
2022-08-03 08:00:00,458.32
2022-08-03 08:30:00,456.18
2022-08-03 09:00:00,444.47
2022-08-03 09:30:00,427.44
2022-08-03 10:00:00,425.69
2022-08-03 10:30:00,428.8
2022-08-03 11:00:00,453.58
2022-08-03 11:30:00,427.85
2022-08-03 12:00:00,428.56
2022-08-03 12:30:00,431.12
2022-08-03 13:00:00,427.85
2022-08-03 13:30:00,403.92
2022-08-03 14:00:00,405.31
2022-08-03 14:30:00,416.55
2022-08-03 15:00:00,427.56
2022-08-03 15:30:00,431.78
2022-08-03 16:00:00,428.29
2022-08-03 16:30:00,454.57
2022-08-03 17:00:00,480.46
2022-08-03 17:30:00,533.4
2022-08-03 18:00:00,563.36
2022-08-03 18:30:00,571.01
2022-08-03 19:00:00,544.95
2022-08-03 19:30:00,554.77
2022-08-03 20:00:00,528.98
2022-08-03 20:30:00,503.22
2022-08-03 21:00:00,479.24
2022-08-03 21:30:00,444.05
2022-08-03 22:00:00,413.86
2022-08-03 22:30:00,379.88
2022-08-03 23:00:00,353.63
2022-08-03 23:30:00,328.5
2022-08-04 00:00:00,298.83
2022-08-04 00:30:00,290.75
2022-08-04 01:00:00,287.63
2022-08-04 01:30:00,275.19
2022-08-04 02:00:00,268.17
2022-08-04 02:30:00,263.44
2022-08-04 03:00:00,264.22
2022-08-04 03:30:00,273.16
2022-08-04 04:00:00,265.57
2022-08-04 04:30:00,289.11
2022-08-04 05:00:00,314.59
2022-08-04 05:30:00,322.72
2022-08-04 06:00:00,359.21
2022-08-04 06:30:00,434.8
2022-08-04 07:00:00,473.63
2022-08-04 07:30:00,473.25
2022-08-04 08:00:00,455.98
2022-08-04 08:30:00,467.18
2022-08-04 09:00:00,432.34
2022-08-04 09:30:00,407.47
2022-08-04 10:00:00,375.49
2022-08-04 10:30:00,358.08
2022-08-04 11:00:00,348.59
2022-08-04 11:30:00,361.02
2022-08-04 12:00:00,335.84
2022-08-04 12:30:00,329.7
