Datetime,RPS Price
2022-08-01 00:00:00,142.07
2022-08-01 00:30:00,141.2
2022-08-01 01:00:00,125.99
2022-08-01 01:30:00,134.87
2022-08-01 02:00:00,129.31
2022-08-01 02:30:00,120.74
2022-08-01 03:00:00,116.25
2022-08-01 03:30:00,114.78
2022-08-01 04:00:00,118.86
2022-08-01 04:30:00,129.8
2022-08-01 05:00:00,136.87
2022-08-01 05:30:00,153.92
2022-08-01 06:00:00,214.85
2022-08-01 06:30:00,265.96
2022-08-01 07:00:00,324.11
2022-08-01 07:30:00,330.06
2022-08-01 08:00:00,296.9
2022-08-01 08:30:00,259.62
2022-08-01 09:00:00,234.98
2022-08-01 09:30:00,197.32
2022-08-01 10:00:00,193.35
2022-08-01 10:30:00,180.57
2022-08-01 11:00:00,178.17
2022-08-01 11:30:00,180.58
2022-08-01 12:00:00,180.13
2022-08-01 12:30:00,183.4
2022-08-01 13:00:00,168.58
2022-08-01 13:30:00,154.44
2022-08-01 14:00:00,156.2
2022-08-01 14:30:00,166.87
2022-08-01 15:00:00,156.86
2022-08-01 15:30:00,154.93
2022-08-01 16:00:00,179.43
2022-08-01 16:30:00,214.16
2022-08-01 17:00:00,271.28
2022-08-01 17:30:00,333.92
2022-08-01 18:00:00,398.85
2022-08-01 18:30:00,447.96
2022-08-01 19:00:00,435.79
2022-08-01 19:30:00,409.12
2022-08-01 20:00:00,393.99
2022-08-01 20:30:00,393.88
2022-08-01 21:00:00,378.92
2022-08-01 21:30:00,343.83
2022-08-01 22:00:00,282.44
2022-08-01 22:30:00,250.21
2022-08-01 23:00:00,204.88
2022-08-01 23:30:00,178.27
2022-08-02 00:00:00,148.95
2022-08-02 00:30:00,137.04
2022-08-02 01:00:00,130.4
2022-08-02 01:30:00,124.8
2022-08-02 02:00:00,127.49
2022-08-02 02:30:00,128.93
2022-08-02 03:00:00,131.76
2022-08-02 03:30:00,128.03
2022-08-02 04:00:00,129.92
2022-08-02 04:30:00,139.89
2022-08-02 05:00:00,154.08
2022-08-02 05:30:00,181.49
2022-08-02 06:00:00,232.1
2022-08-02 06:30:00,312.99
2022-08-02 07:00:00,377.03
2022-08-02 07:30:00,369.62
2022-08-02 08:00:00,336.98
2022-08-02 08:30:00,286.88
2022-08-02 09:00:00,276.21
2022-08-02 09:30:00,266.57
2022-08-02 10:00:00,239.58
2022-08-02 10:30:00,223.22
2022-08-02 11:00:00,209.11
2022-08-02 11:30:00,197.52
2022-08-02 12:00:00,203.05
2022-08-02 12:30:00,184.77
2022-08-02 13:00:00,187.08
2022-08-02 13:30:00,166.43
2022-08-02 14:00:00,172.52
2022-08-02 14:30:00,169.0
2022-08-02 15:00:00,161.1
2022-08-02 15:30:00,177.36
2022-08-02 16:00:00,187.54
2022-08-02 16:30:00,220.82
2022-08-02 17:00:00,294.94
2022-08-02 17:30:00,358.19
2022-08-02 18:00:00,412.35
2022-08-02 18:30:00,430.77
2022-08-02 19:00:00,442.65
2022-08-02 19:30:00,430.66
2022-08-02 20:00:00,410.49
2022-08-02 20:30:00,395.23
2022-08-02 21:00:00,377.84
2022-08-02 21:30:00,345.2
2022-08-02 22:00:00,295.67
2022-08-02 22:30:00,246.86
2022-08-02 23:00:00,205.48
2022-08-02 23:30:00,176.09
2022-08-03 00:00:00,144.75
2022-08-03 00:30:00,135.46
2022-08-03 01:00:00,132.6
2022-08-03 01:30:00,133.18
2022-08-03 02:00:00,130.98
2022-08-03 02:30:00,119.37
2022-08-03 03:00:00,121.3
2022-08-03 03:30:00,116.56
2022-08-03 04:00:00,111.93
2022-08-03 04:30:00,117.86
2022-08-03 05:00:00,139.97
2022-08-03 05:30:00,163.44
2022-08-03 06:00:00,212.89
2022-08-03 06:30:00,271.66
2022-08-03 07:00:00,324.99
2022-08-03 07:30:00,321.48
2022-08-03 08:00:00,285.24
2022-08-03 08:30:00,253.32
2022-08-03 09:00:00,219.19
2022-08-03 09:30:00,190.87
2022-08-03 10:00:00,182.23
2022-08-03 10:30:00,184.59
2022-08-03 11:00:00,181.08
2022-08-03 11:30:00,168.82
2022-08-03 12:00:00,166.38
