Datetime,RPS Price
2022-08-01 00:00:00,424.92
2022-08-01 00:30:00,398.48
2022-08-01 01:00:00,386.3
2022-08-01 01:30:00,365.55
2022-08-01 02:00:00,365.94
2022-08-01 02:30:00,357.02
2022-08-01 03:00:00,370.57
2022-08-01 03:30:00,361.11
2022-08-01 04:00:00,369.11
2022-08-01 04:30:00,385.47
2022-08-01 05:00:00,410.81
2022-08-01 05:30:00,454.39
2022-08-01 06:00:00,562.06
2022-08-01 06:30:00,650.45
2022-08-01 07:00:00,749.05
2022-08-01 07:30:00,790.43
2022-08-01 08:00:00,767.78
2022-08-01 08:30:00,803.34
2022-08-01 09:00:00,856.88
2022-08-01 09:30:00,846.48
2022-08-01 10:00:00,764.74
2022-08-01 10:30:00,710.01
2022-08-01 11:00:00,700.96
2022-08-01 11:30:00,669.54
2022-08-01 12:00:00,649.1
2022-08-01 12:30:00,607.4
2022-08-01 13:00:00,613.47
2022-08-01 13:30:00,608.64
2022-08-01 14:00:00,589.77
2022-08-01 14:30:00,548.98
2022-08-01 15:00:00,557.33
2022-08-01 15:30:00,578.47
2022-08-01 16:00:00,625.04
2022-08-01 16:30:00,659.76
2022-08-01 17:00:00,737.73
2022-08-01 17:30:00,745.28
2022-08-01 18:00:00,734.79
2022-08-01 18:30:00,779.81
2022-08-01 19:00:00,869.35
2022-08-01 19:30:00,877.52
2022-08-01 20:00:00,794.09
2022-08-01 20:30:00,742.76
2022-08-01 21:00:00,706.35
2022-08-01 21:30:00,644.51
2022-08-01 22:00:00,573.95
2022-08-01 22:30:00,519.98
2022-08-01 23:00:00,487.99
2022-08-01 23:30:00,441.92
2022-08-02 00:00:00,406.5
2022-08-02 00:30:00,399.57
2022-08-02 01:00:00,380.39
2022-08-02 01:30:00,363.66
2022-08-02 02:00:00,361.56
2022-08-02 02:30:00,349.61
2022-08-02 03:00:00,346.33
2022-08-02 03:30:00,349.65
2022-08-02 04:00:00,344.63
2022-08-02 04:30:00,348.4
2022-08-02 05:00:00,371.9
2022-08-02 05:30:00,417.15
2022-08-02 06:00:00,520.16
2022-08-02 06:30:00,600.61
2022-08-02 07:00:00,667.86
2022-08-02 07:30:00,658.85
2022-08-02 08:00:00,676.55
2022-08-02 08:30:00,741.58
2022-08-02 09:00:00,796.42
2022-08-02 09:30:00,827.16
2022-08-02 10:00:00,783.51
2022-08-02 10:30:00,705.81
2022-08-02 11:00:00,675.06
2022-08-02 11:30:00,648.26
2022-08-02 12:00:00,653.63
2022-08-02 12:30:00,616.0
2022-08-02 13:00:00,636.0
2022-08-02 13:30:00,618.47
2022-08-02 14:00:00,570.74
2022-08-02 14:30:00,558.85
2022-08-02 15:00:00,554.94
2022-08-02 15:30:00,626.64
2022-08-02 16:00:00,632.49
2022-08-02 16:30:00,642.26
2022-08-02 17:00:00,718.65
2022-08-02 17:30:00,739.69
2022-08-02 18:00:00,735.19
2022-08-02 18:30:00,783.62
2022-08-02 19:00:00,854.94
2022-08-02 19:30:00,837.62
2022-08-02 20:00:00,788.4
2022-08-02 20:30:00,734.4
2022-08-02 21:00:00,686.29
2022-08-02 21:30:00,639.94
2022-08-02 22:00:00,571.92
2022-08-02 22:30:00,508.05
2022-08-02 23:00:00,486.54
2022-08-02 23:30:00,443.07
2022-08-03 00:00:00,422.42
2022-08-03 00:30:00,400.87
2022-08-03 01:00:00,383.55
2022-08-03 01:30:00,358.21
2022-08-03 02:00:00,345.75
2022-08-03 02:30:00,344.87
2022-08-03 03:00:00,328.61
2022-08-03 03:30:00,335.88
2022-08-03 04:00:00,348.38
2022-08-03 04:30:00,353.0
2022-08-03 05:00:00,367.42
2022-08-03 05:30:00,431.41
2022-08-03 06:00:00,523.94
2022-08-03 06:30:00,603.63
2022-08-03 07:00:00,674.69
2022-08-03 07:30:00,693.61
2022-08-03 08:00:00,675.43
2022-08-03 08:30:00,751.9
2022-08-03 09:00:00,764.05
2022-08-03 09:30:00,740.17
2022-08-03 10:00:00,676.46
2022-08-03 10:30:00,618.5
2022-08-03 11:00:00,599.51
2022-08-03 11:30:00,594.06
2022-08-03 12:00:00,599.51
2022-08-03 12:30:00,585.97
2022-08-03 13:00:00,558.89
2022-08-03 13:30:00,555.35
2022-08-03 14:00:00,556.97
2022-08-03 14:30:00,555.05
2022-08-03 15:00:00,569.3
2022-08-03 15:30:00,609.73
2022-08-03 16:00:00,666.01
2022-08-03 16:30:00,655.31
2022-08-03 17:00:00,674.69
2022-08-03 17:30:00,687.79
2022-08-03 18:00:00,683.22
2022-08-03 18:30:00,726.39
2022-08-03 19:00:00,817.51
2022-08-03 19:30:00,817.86
2022-08-03 20:00:00,724.92
2022-08-03 20:30:00,681.53
2022-08-03 21:00:00,630.26
2022-08-03 21:30:00,596.54
2022-08-03 22:00:00,536.63
2022-08-03 22:30:00,488.53
2022-08-03 23:00:00,454.03
2022-08-03 23:30:00,405.75
2022-08-04 00:00:00,383.74
2022-08-04 00:30:00,356.91
2022-08-04 01:00:00,346.46
2022-08-04 01:30:00,332.11
2022-08-04 02:00:00,332.31
2022-08-04 02:30:00,334.88
2022-08-04 03:00:00,323.84
2022-08-04 03:30:00,310.27
2022-08-04 04:00:00,313.64
2022-08-04 04:30:00,328.66
2022-08-04 05:00:00,352.13
2022-08-04 05:30:00,400.93
2022-08-04 06:00:00,500.05
2022-08-04 06:30:00,593.89
2022-08-04 07:00:00,661.07
2022-08-04 07:30:00,655.92
2022-08-04 08:00:00,639.99
2022-08-04 08:30:00,695.75
2022-08-04 09:00:00,737.18
2022-08-04 09:30:00,740.51
2022-08-04 10:00:00,677.41
2022-08-04 10:30:00,633.4
2022-08-04 11:00:00,597.99
2022-08-04 11:30:00,562.67
