Datetime,RPS Price
2022-08-01 00:00:00,152.78
2022-08-01 00:30:00,145.48
2022-08-01 01:00:00,134.39
2022-08-01 01:30:00,131.51
2022-08-01 02:00:00,134.31
2022-08-01 02:30:00,132.57
2022-08-01 03:00:00,137.56
2022-08-01 03:30:00,141.12
2022-08-01 04:00:00,157.32
2022-08-01 04:30:00,157.39
2022-08-01 05:00:00,163.61
2022-08-01 05:30:00,186.41
2022-08-01 06:00:00,239.56
2022-08-01 06:30:00,298.62
2022-08-01 07:00:00,371.9
2022-08-01 07:30:00,391.21
2022-08-01 08:00:00,361.35
2022-08-01 08:30:00,317.49
2022-08-01 09:00:00,286.12
2022-08-01 09:30:00,237.7
2022-08-01 10:00:00,215.84
2022-08-01 10:30:00,192.95
2022-08-01 11:00:00,173.63
2022-08-01 11:30:00,172.74
2022-08-01 12:00:00,181.74
2022-08-01 12:30:00,171.45
2022-08-01 13:00:00,164.93
2022-08-01 13:30:00,157.32
2022-08-01 14:00:00,153.25
2022-08-01 14:30:00,150.55
2022-08-01 15:00:00,146.43
2022-08-01 15:30:00,163.13
2022-08-01 16:00:00,189.93
2022-08-01 16:30:00,248.14
2022-08-01 17:00:00,328.42
2022-08-01 17:30:00,404.28
2022-08-01 18:00:00,429.43
2022-08-01 18:30:00,429.17
2022-08-01 19:00:00,418.55
2022-08-01 19:30:00,403.64
2022-08-01 20:00:00,371.85
2022-08-01 20:30:00,351.22
2022-08-01 21:00:00,328.35
2022-08-01 21:30:00,270.14
2022-08-01 22:00:00,239.34
2022-08-01 22:30:00,203.8
2022-08-01 23:00:00,174.26
2022-08-01 23:30:00,163.86
2022-08-02 00:00:00,140.88
2022-08-02 00:30:00,132.27
2022-08-02 01:00:00,130.13
2022-08-02 01:30:00,132.42
2022-08-02 02:00:00,128.64
2022-08-02 02:30:00,134.73
2022-08-02 03:00:00,133.93
2022-08-02 03:30:00,131.48
2022-08-02 04:00:00,151.75
2022-08-02 04:30:00,141.08
2022-08-02 05:00:00,164.69
2022-08-02 05:30:00,185.07
2022-08-02 06:00:00,248.68
2022-08-02 06:30:00,318.34
2022-08-02 07:00:00,378.48
2022-08-02 07:30:00,374.15
2022-08-02 08:00:00,345.5
2022-08-02 08:30:00,309.68
2022-08-02 09:00:00,288.46
2022-08-02 09:30:00,238.09
2022-08-02 10:00:00,214.63
2022-08-02 10:30:00,200.12
2022-08-02 11:00:00,193.6
2022-08-02 11:30:00,193.43
2022-08-02 12:00:00,208.39
2022-08-02 12:30:00,205.23
2022-08-02 13:00:00,192.95
2022-08-02 13:30:00,166.25
2022-08-02 14:00:00,161.12
2022-08-02 14:30:00,154.73
2022-08-02 15:00:00,150.22
2022-08-02 15:30:00,205.53
2022-08-02 16:00:00,224.8
2022-08-02 16:30:00,242.82
2022-08-02 17:00:00,322.53
2022-08-02 17:30:00,401.9
2022-08-02 18:00:00,434.75
2022-08-02 18:30:00,430.23
2022-08-02 19:00:00,407.96
2022-08-02 19:30:00,379.09
2022-08-02 20:00:00,367.74
2022-08-02 20:30:00,339.08
2022-08-02 21:00:00,301.77
2022-08-02 21:30:00,270.42
2022-08-02 22:00:00,229.33
2022-08-02 22:30:00,204.83
2022-08-02 23:00:00,177.11
2022-08-02 23:30:00,149.72
2022-08-03 00:00:00,134.14
2022-08-03 00:30:00,129.05
2022-08-03 01:00:00,128.44
2022-08-03 01:30:00,126.66
2022-08-03 02:00:00,120.76
2022-08-03 02:30:00,124.22
2022-08-03 03:00:00,121.18
2022-08-03 03:30:00,125.76
2022-08-03 04:00:00,131.18
2022-08-03 04:30:00,130.13
2022-08-03 05:00:00,147.83
2022-08-03 05:30:00,171.87
2022-08-03 06:00:00,223.36
2022-08-03 06:30:00,287.65
2022-08-03 07:00:00,343.24
2022-08-03 07:30:00,351.69
2022-08-03 08:00:00,313.96
2022-08-03 08:30:00,297.42
2022-08-03 09:00:00,297.23
2022-08-03 09:30:00,269.89
2022-08-03 10:00:00,230.1
2022-08-03 10:30:00,219.79
2022-08-03 11:00:00,202.06
2022-08-03 11:30:00,179.16
2022-08-03 12:00:00,170.09
2022-08-03 12:30:00,169.19
2022-08-03 13:00:00,156.75
2022-08-03 13:30:00,164.76
2022-08-03 14:00:00,167.2
2022-08-03 14:30:00,175.17
2022-08-03 15:00:00,174.48
2022-08-03 15:30:00,182.05
2022-08-03 16:00:00,198.18
2022-08-03 16:30:00,232.65
2022-08-03 17:00:00,293.1
2022-08-03 17:30:00,370.9
2022-08-03 18:00:00,374.23
2022-08-03 18:30:00,364.11
2022-08-03 19:00:00,362.14
2022-08-03 19:30:00,358.38
2022-08-03 20:00:00,332.56
2022-08-03 20:30:00,314.48
2022-08-03 21:00:00,292.02
2022-08-03 21:30:00,269.29
2022-08-03 22:00:00,217.67
2022-08-03 22:30:00,187.94
2022-08-03 23:00:00,182.22
2022-08-03 23:30:00,150.59
2022-08-04 00:00:00,146.26
2022-08-04 00:30:00,130.71
2022-08-04 01:00:00,126.26
2022-08-04 01:30:00,119.68
2022-08-04 02:00:00,121.53
2022-08-04 02:30:00,119.76
2022-08-04 03:00:00,125.58
2022-08-04 03:30:00,127.09
2022-08-04 04:00:00,136.99
2022-08-04 04:30:00,140.22
2022-08-04 05:00:00,146.16
2022-08-04 05:30:00,181.45
2022-08-04 06:00:00,237.23
2022-08-04 06:30:00,301.55
2022-08-04 07:00:00,365.45
2022-08-04 07:30:00,376.88
2022-08-04 08:00:00,325.26
2022-08-04 08:30:00,278.16
2022-08-04 09:00:00,251.21
2022-08-04 09:30:00,220.45
2022-08-04 10:00:00,199.6
2022-08-04 10:30:00,177.2
2022-08-04 11:00:00,169.27
2022-08-04 11:30:00,160.48
2022-08-04 12:00:00,158.98
2022-08-04 12:30:00,138.18
2022-08-04 13:00:00,142.09
2022-08-04 13:30:00,132.16
2022-08-04 14:00:00,133.66
2022-08-04 14:30:00,126.94
2022-08-04 15:00:00,137.65
2022-08-04 15:30:00,147.0
2022-08-04 16:00:00,184.28
2022-08-04 16:30:00,221.96
2022-08-04 17:00:00,274.34
2022-08-04 17:30:00,326.8
2022-08-04 18:00:00,365.59
2022-08-04 18:30:00,375.94
2022-08-04 19:00:00,359.99
2022-08-04 19:30:00,360.13
2022-08-04 20:00:00,337.4
2022-08-04 20:30:00,323.79
2022-08-04 21:00:00,303.23
2022-08-04 21:30:00,273.3
2022-08-04 22:00:00,233.22
2022-08-04 22:30:00,194.04
2022-08-04 23:00:00,163.74
2022-08-04 23:30:00,144.65
2022-08-05 00:00:00,135.78
2022-08-05 00:30:00,131.46
2022-08-05 01:00:00,132.98
2022-08-05 01:30:00,130.22
2022-08-05 02:00:00,127.22
2022-08-05 02:30:00,125.6
2022-08-05 03:00:00,127.08
2022-08-05 03:30:00,128.61
2022-08-05 04:00:00,136.13
2022-08-05 04:30:00,130.17
2022-08-05 05:00:00,153.44
2022-08-05 05:30:00,176.31
2022-08-05 06:00:00,239.11
2022-08-05 06:30:00,296.1
2022-08-05 07:00:00,366.2
2022-08-05 07:30:00,374.61
2022-08-05 08:00:00,345.84
2022-08-05 08:30:00,303.63
2022-08-05 09:00:00,282.08
2022-08-05 09:30:00,236.25
2022-08-05 10:00:00,211.95
2022-08-05 10:30:00,182.06
2022-08-05 11:00:00,181.02
2022-08-05 11:30:00,165.33
2022-08-05 12:00:00,158.36
2022-08-05 12:30:00,153.91
2022-08-05 13:00:00,156.51
2022-08-05 13:30:00,143.27
2022-08-05 14:00:00,142.75
2022-08-05 14:30:00,148.91
2022-08-05 15:00:00,148.68
2022-08-05 15:30:00,158.98
2022-08-05 16:00:00,183.04
2022-08-05 16:30:00,200.44
2022-08-05 17:00:00,242.91
2022-08-05 17:30:00,302.7
2022-08-05 18:00:00,345.67
2022-08-05 18:30:00,349.81
2022-08-05 19:00:00,356.25
2022-08-05 19:30:00,357.58
2022-08-05 20:00:00,328.48
2022-08-05 20:30:00,297.62
2022-08-05 21:00:00,280.51
2022-08-05 21:30:00,257.62
2022-08-05 22:00:00,229.49
2022-08-05 22:30:00,214.91
2022-08-05 23:00:00,181.63
2022-08-05 23:30:00,154.58
2022-08-06 00:00:00,142.67
2022-08-06 00:30:00,136.14
2022-08-06 01:00:00,134.12
2022-08-06 01:30:00,131.87
2022-08-06 02:00:00,131.09
2022-08-06 02:30:00,127.45
2022-08-06 03:00:00,129.62
2022-08-06 03:30:00,130.08
2022-08-06 04:00:00,144.71
2022-08-06 04:30:00,144.1
2022-08-06 05:00:00,146.44
2022-08-06 05:30:00,158.93
2022-08-06 06:00:00,188.97
2022-08-06 06:30:00,222.24
2022-08-06 07:00:00,284.49
2022-08-06 07:30:00,313.53
2022-08-06 08:00:00,316.94
2022-08-06 08:30:00,294.49
2022-08-06 09:00:00,286.04
2022-08-06 09:30:00,265.19
2022-08-06 10:00:00,256.97
2022-08-06 10:30:00,236.26
2022-08-06 11:00:00,222.53
2022-08-06 11:30:00,210.62
2022-08-06 12:00:00,211.13
2022-08-06 12:30:00,194.88
2022-08-06 13:00:00,212.86
2022-08-06 13:30:00,225.14
2022-08-06 14:00:00,217.55
2022-08-06 14:30:00,212.03
2022-08-06 15:00:00,193.52
2022-08-06 15:30:00,223.37
2022-08-06 16:00:00,246.36
2022-08-06 16:30:00,299.73
2022-08-06 17:00:00,361.68
2022-08-06 17:30:00,395.65
2022-08-06 18:00:00,401.81
2022-08-06 18:30:00,370.9
2022-08-06 19:00:00,345.7
2022-08-06 19:30:00,325.98
