Datetime,RPS Price
2022-08-01 00:00:00,736.15
2022-08-02 00:00:00,609.18
2022-08-03 00:00:00,590.31
2022-08-04 00:00:00,576.39
2022-08-05 00:00:00,549.82
2022-08-06 00:00:00,581.21
2022-08-07 00:00:00,577.32
2022-08-08 00:00:00,648.9
2022-08-09 00:00:00,687.28
2022-08-10 00:00:00,681.33
2022-08-11 00:00:00,711.48
2022-08-12 00:00:00,734.56
2022-08-13 00:00:00,771.99
2022-08-14 00:00:00,713.86
2022-08-15 00:00:00,638.02
2022-08-16 00:00:00,640.3
2022-08-17 00:00:00,541.23
2022-08-18 00:00:00,473.69
2022-08-19 00:00:00,547.4
2022-08-20 00:00:00,557.43
2022-08-21 00:00:00,509.34
2022-08-22 00:00:00,520.67
2022-08-23 00:00:00,535.2
2022-08-24 00:00:00,544.11
2022-08-25 00:00:00,558.47
2022-08-26 00:00:00,584.53
2022-08-27 00:00:00,632.93
2022-08-28 00:00:00,621.49
2022-08-29 00:00:00,559.34
2022-08-30 00:00:00,548.34
2022-08-31 00:00:00,505.36
2022-08-01 00:30:00,723.76
2022-08-02 00:30:00,610.05
2022-08-03 00:30:00,561.81
2022-08-04 00:30:00,564.85
2022-08-05 00:30:00,536.57
2022-08-06 00:30:00,544.19
2022-08-07 00:30:00,553.66
2022-08-08 00:30:00,656.5
2022-08-09 00:30:00,692.34
2022-08-10 00:30:00,676.06
2022-08-11 00:30:00,703.55
2022-08-12 00:30:00,729.46
2022-08-13 00:30:00,756.31
2022-08-14 00:30:00,683.63
2022-08-15 00:30:00,621.98
2022-08-16 00:30:00,634.55
2022-08-17 00:30:00,516.34
2022-08-18 00:30:00,466.81
2022-08-19 00:30:00,532.56
2022-08-20 00:30:00,550.02
2022-08-21 00:30:00,490.74
2022-08-22 00:30:00,491.4
2022-08-23 00:30:00,520.57
2022-08-24 00:30:00,526.09
2022-08-25 00:30:00,543.55
2022-08-26 00:30:00,546.74
2022-08-27 00:30:00,618.93
2022-08-28 00:30:00,594.3
2022-08-29 00:30:00,551.6
2022-08-30 00:30:00,520.68
2022-08-31 00:30:00,492.02
2022-08-01 01:00:00,705.62
2022-08-02 01:00:00,605.59
2022-08-03 01:00:00,565.2
