Datetime,RPS Price
2022-08-01 00:00:00,198.47
2022-08-02 00:00:00,156.12
2022-08-03 00:00:00,148.01
2022-08-04 00:00:00,148.15
2022-08-05 00:00:00,132.0
2022-08-06 00:00:00,129.79
2022-08-07 00:00:00,154.57
2022-08-08 00:00:00,178.38
2022-08-09 00:00:00,206.63
2022-08-10 00:00:00,230.54
2022-08-11 00:00:00,212.04
2022-08-12 00:00:00,208.84
2022-08-13 00:00:00,239.67
2022-08-14 00:00:00,213.21
2022-08-15 00:00:00,168.56
2022-08-16 00:00:00,183.86
2022-08-17 00:00:00,130.47
2022-08-18 00:00:00,140.88
2022-08-19 00:00:00,150.56
2022-08-20 00:00:00,167.92
2022-08-21 00:00:00,143.43
2022-08-22 00:00:00,157.36
2022-08-23 00:00:00,157.84
2022-08-24 00:00:00,159.19
2022-08-25 00:00:00,149.75
2022-08-26 00:00:00,142.71
2022-08-27 00:00:00,156.09
2022-08-28 00:00:00,159.34
2022-08-29 00:00:00,157.27
2022-08-30 00:00:00,158.93
2022-08-31 00:00:00,124.22
2022-08-01 00:30:00,191.86
2022-08-02 00:30:00,141.55
2022-08-03 00:30:00,138.51
2022-08-04 00:30:00,136.28
2022-08-05 00:30:00,117.8
2022-08-06 00:30:00,126.22
2022-08-07 00:30:00,136.07
2022-08-08 00:30:00,175.28
2022-08-09 00:30:00,196.06
2022-08-10 00:30:00,217.66
2022-08-11 00:30:00,201.01
2022-08-12 00:30:00,206.12
2022-08-13 00:30:00,223.81
2022-08-14 00:30:00,212.47
2022-08-15 00:30:00,168.93
2022-08-16 00:30:00,178.34
2022-08-17 00:30:00,127.02
2022-08-18 00:30:00,136.41
2022-08-19 00:30:00,141.05
2022-08-20 00:30:00,155.18
2022-08-21 00:30:00,134.34
2022-08-22 00:30:00,147.73
2022-08-23 00:30:00,140.58
2022-08-24 00:30:00,148.36
2022-08-25 00:30:00,145.87
2022-08-26 00:30:00,141.79
2022-08-27 00:30:00,158.17
2022-08-28 00:30:00,155.32
2022-08-29 00:30:00,154.66
2022-08-30 00:30:00,151.68
2022-08-31 00:30:00,119.27
2022-08-01 01:00:00,196.16
2022-08-02 01:00:00,140.71
2022-08-03 01:00:00,140.2
2022-08-04 01:00:00,132.6
2022-08-05 01:00:00,117.0
2022-08-06 01:00:00,111.04
2022-08-07 01:00:00,132.06
2022-08-08 01:00:00,173.8
2022-08-09 01:00:00,196.38
2022-08-10 01:00:00,210.4
2022-08-11 01:00:00,197.77
2022-08-12 01:00:00,203.73
2022-08-13 01:00:00,219.29
2022-08-14 01:00:00,201.08
2022-08-15 01:00:00,162.1
2022-08-16 01:00:00,170.02
2022-08-17 01:00:00,117.97
2022-08-18 01:00:00,131.51
2022-08-19 01:00:00,141.66
2022-08-20 01:00:00,152.58
2022-08-21 01:00:00,125.18
2022-08-22 01:00:00,143.39
2022-08-23 01:00:00,140.67
2022-08-24 01:00:00,141.01
2022-08-25 01:00:00,142.97
2022-08-26 01:00:00,141.74
2022-08-27 01:00:00,143.88
2022-08-28 01:00:00,154.71
2022-08-29 01:00:00,152.4
2022-08-30 01:00:00,147.31
2022-08-31 01:00:00,114.04
2022-08-01 01:30:00,198.15
2022-08-02 01:30:00,137.84
2022-08-03 01:30:00,130.78
2022-08-04 01:30:00,119.88
2022-08-05 01:30:00,112.3
2022-08-06 01:30:00,114.32
2022-08-07 01:30:00,126.76
2022-08-08 01:30:00,162.04
2022-08-09 01:30:00,199.65
2022-08-10 01:30:00,217.07
2022-08-11 01:30:00,191.38
2022-08-12 01:30:00,213.74
2022-08-13 01:30:00,213.91
2022-08-14 01:30:00,202.06
2022-08-15 01:30:00,173.15
2022-08-16 01:30:00,166.25
2022-08-17 01:30:00,116.49
2022-08-18 01:30:00,119.15
2022-08-19 01:30:00,138.52
2022-08-20 01:30:00,148.32
2022-08-21 01:30:00,120.75
2022-08-22 01:30:00,147.53
2022-08-23 01:30:00,137.51
2022-08-24 01:30:00,132.53
2022-08-25 01:30:00,127.52
2022-08-26 01:30:00,141.27
2022-08-27 01:30:00,142.18
2022-08-28 01:30:00,138.77
2022-08-29 01:30:00,152.96
2022-08-30 01:30:00,142.88
2022-08-31 01:30:00,113.28
2022-08-01 02:00:00,189.35
2022-08-02 02:00:00,141.03
2022-08-03 02:00:00,127.69
2022-08-04 02:00:00,125.97
2022-08-05 02:00:00,104.82
2022-08-06 02:00:00,109.83
2022-08-07 02:00:00,123.69
2022-08-08 02:00:00,162.69
2022-08-09 02:00:00,197.84
2022-08-10 02:00:00,223.94
2022-08-11 02:00:00,190.06
2022-08-12 02:00:00,205.27
2022-08-13 02:00:00,214.42
2022-08-14 02:00:00,208.83
2022-08-15 02:00:00,178.35
2022-08-16 02:00:00,163.9
2022-08-17 02:00:00,107.45
2022-08-18 02:00:00,110.96
2022-08-19 02:00:00,143.41
2022-08-20 02:00:00,154.87
2022-08-21 02:00:00,117.15
2022-08-22 02:00:00,141.56
2022-08-23 02:00:00,135.3
2022-08-24 02:00:00,130.3
2022-08-25 02:00:00,130.37
2022-08-26 02:00:00,137.55
2022-08-27 02:00:00,141.77
2022-08-28 02:00:00,147.75
2022-08-29 02:00:00,156.86
2022-08-30 02:00:00,149.08
2022-08-31 02:00:00,113.35
2022-08-01 02:30:00,190.41
2022-08-02 02:30:00,143.41
2022-08-03 02:30:00,133.0
2022-08-04 02:30:00,118.32
2022-08-05 02:30:00,105.28
2022-08-06 02:30:00,105.89
2022-08-07 02:30:00,116.0
2022-08-08 02:30:00,159.2
2022-08-09 02:30:00,194.45
2022-08-10 02:30:00,216.46
2022-08-11 02:30:00,189.64
2022-08-12 02:30:00,201.84
2022-08-13 02:30:00,220.72
2022-08-14 02:30:00,210.65
2022-08-15 02:30:00,172.26
2022-08-16 02:30:00,160.82
2022-08-17 02:30:00,112.38
2022-08-18 02:30:00,113.04
2022-08-19 02:30:00,139.62
2022-08-20 02:30:00,149.22
2022-08-21 02:30:00,120.35
2022-08-22 02:30:00,140.6
2022-08-23 02:30:00,145.09
2022-08-24 02:30:00,134.77
2022-08-25 02:30:00,136.62
2022-08-26 02:30:00,136.83
2022-08-27 02:30:00,148.16
2022-08-28 02:30:00,148.15
2022-08-29 02:30:00,164.25
2022-08-30 02:30:00,152.8
2022-08-31 02:30:00,117.42
2022-08-01 03:00:00,193.84
2022-08-02 03:00:00,136.78
2022-08-03 03:00:00,131.5
2022-08-04 03:00:00,125.08
2022-08-05 03:00:00,109.05
2022-08-06 03:00:00,104.93
2022-08-07 03:00:00,119.1
2022-08-08 03:00:00,170.72
2022-08-09 03:00:00,197.11
2022-08-10 03:00:00,224.6
2022-08-11 03:00:00,184.32
2022-08-12 03:00:00,205.35
2022-08-13 03:00:00,229.57
2022-08-14 03:00:00,211.13
2022-08-15 03:00:00,172.87
2022-08-16 03:00:00,157.86
2022-08-17 03:00:00,105.78
2022-08-18 03:00:00,107.49
2022-08-19 03:00:00,142.63
2022-08-20 03:00:00,144.5
2022-08-21 03:00:00,114.34
