Datetime,RPS Price
2022-08-01 00:00:00,9.03
2022-08-02 00:00:00,13.31
2022-08-03 00:00:00,11.3
2022-08-04 00:00:00,11.26
2022-08-05 00:00:00,12.26
2022-08-06 00:00:00,9.96
2022-08-07 00:00:00,12.12
2022-08-08 00:00:00,11.13
2022-08-09 00:00:00,12.97
2022-08-10 00:00:00,13.75
2022-08-11 00:00:00,11.15
2022-08-12 00:00:00,9.76
2022-08-13 00:00:00,13.69
2022-08-14 00:00:00,9.98
2022-08-15 00:00:00,11.32
2022-08-16 00:00:00,10.97
2022-08-17 00:00:00,8.93
2022-08-18 00:00:00,10.35
2022-08-19 00:00:00,11.13
2022-08-20 00:00:00,12.7
2022-08-21 00:00:00,11.44
2022-08-22 00:00:00,10.17
2022-08-23 00:00:00,10.46
2022-08-24 00:00:00,9.63
2022-08-25 00:00:00,13.29
2022-08-26 00:00:00,12.26
2022-08-27 00:00:00,11.41
2022-08-28 00:00:00,9.56
2022-08-29 00:00:00,9.27
2022-08-30 00:00:00,9.9
2022-08-31 00:00:00,10.78
2022-08-01 00:30:00,9.09
2022-08-02 00:30:00,11.8
2022-08-03 00:30:00,9.25
2022-08-04 00:30:00,11.07
2022-08-05 00:30:00,12.11
2022-08-06 00:30:00,9.68
2022-08-07 00:30:00,12.16
2022-08-08 00:30:00,12.07
2022-08-09 00:30:00,12.64
2022-08-10 00:30:00,13.68
2022-08-11 00:30:00,11.58
2022-08-12 00:30:00,9.46
2022-08-13 00:30:00,12.2
2022-08-14 00:30:00,9.92
2022-08-15 00:30:00,10.09
2022-08-16 00:30:00,11.14
2022-08-17 00:30:00,8.89
2022-08-18 00:30:00,11.46
2022-08-19 00:30:00,11.51
2022-08-20 00:30:00,11.22
2022-08-21 00:30:00,10.4
2022-08-22 00:30:00,10.25
2022-08-23 00:30:00,10.04
2022-08-24 00:30:00,9.8
2022-08-25 00:30:00,11.62
2022-08-26 00:30:00,12.1
2022-08-27 00:30:00,9.73
2022-08-28 00:30:00,9.61
2022-08-29 00:30:00,10.18
2022-08-30 00:30:00,9.47
2022-08-31 00:30:00,11.07
2022-08-01 01:00:00,9.91
2022-08-02 01:00:00,12.06
2022-08-03 01:00:00,9.91
2022-08-04 01:00:00,11.24
2022-08-05 01:00:00,12.02
2022-08-06 01:00:00,9.6
2022-08-07 01:00:00,11.07
2022-08-08 01:00:00,10.55
2022-08-09 01:00:00,11.98
2022-08-10 01:00:00,13.14
2022-08-11 01:00:00,13.38
2022-08-12 01:00:00,9.75
2022-08-13 01:00:00,10.45
2022-08-14 01:00:00,10.71
2022-08-15 01:00:00,10.48
2022-08-16 01:00:00,11.27
2022-08-17 01:00:00,9.66
2022-08-18 01:00:00,10.96
2022-08-19 01:00:00,9.19
2022-08-20 01:00:00,10.46
2022-08-21 01:00:00,9.95
2022-08-22 01:00:00,10.77
2022-08-23 01:00:00,9.61
2022-08-24 01:00:00,8.82
2022-08-25 01:00:00,10.86
2022-08-26 01:00:00,12.33
2022-08-27 01:00:00,9.79
2022-08-28 01:00:00,9.2
2022-08-29 01:00:00,10.65
2022-08-30 01:00:00,9.42
2022-08-31 01:00:00,9.51
2022-08-01 01:30:00,11.02
2022-08-02 01:30:00,12.71
2022-08-03 01:30:00,9.96
2022-08-04 01:30:00,12.79
2022-08-05 01:30:00,11.52
2022-08-06 01:30:00,9.47
2022-08-07 01:30:00,10.33
2022-08-08 01:30:00,10.39
2022-08-09 01:30:00,12.21
2022-08-10 01:30:00,13.04
2022-08-11 01:30:00,11.91
2022-08-12 01:30:00,9.32
2022-08-13 01:30:00,10.87
2022-08-14 01:30:00,10.27
2022-08-15 01:30:00,10.44
2022-08-16 01:30:00,10.96
2022-08-17 01:30:00,8.83
2022-08-18 01:30:00,10.08
2022-08-19 01:30:00,8.87
2022-08-20 01:30:00,11.15
2022-08-21 01:30:00,9.53
2022-08-22 01:30:00,11.13
2022-08-23 01:30:00,10.14
2022-08-24 01:30:00,9.56
2022-08-25 01:30:00,9.92
2022-08-26 01:30:00,11.66
2022-08-27 01:30:00,9.8
2022-08-28 01:30:00,9.22
2022-08-29 01:30:00,10.47
2022-08-30 01:30:00,10.52
2022-08-31 01:30:00,9.19
2022-08-01 02:00:00,10.11
2022-08-02 02:00:00,12.91
2022-08-03 02:00:00,9.91
2022-08-04 02:00:00,12.12
2022-08-05 02:00:00,11.55
2022-08-06 02:00:00,9.3
2022-08-07 02:00:00,10.29
2022-08-08 02:00:00,10.49
2022-08-09 02:00:00,12.36
2022-08-10 02:00:00,13.1
2022-08-11 02:00:00,10.91
