Datetime,RPS Price
2022-12-01 00:00:00,8.31
2022-12-02 00:00:00,10.45
2022-12-03 00:00:00,7.62
2022-12-04 00:00:00,6.09
2022-12-05 00:00:00,5.99
2022-12-06 00:00:00,8.58
2022-12-07 00:00:00,6.53
2022-12-08 00:00:00,5.82
2022-12-09 00:00:00,7.03
2022-12-10 00:00:00,6.13
2022-12-11 00:00:00,5.94
2022-12-12 00:00:00,6.37
2022-12-13 00:00:00,8.19
2022-12-14 00:00:00,6.15
2022-12-15 00:00:00,9.54
2022-12-16 00:00:00,6.17
2022-12-17 00:00:00,8.34
2022-12-18 00:00:00,8.02
2022-12-19 00:00:00,6.03
2022-12-20 00:00:00,7.44
2022-12-21 00:00:00,7.25
2022-12-22 00:00:00,6.14
2022-12-23 00:00:00,5.97
2022-12-24 00:00:00,6.16
2022-12-25 00:00:00,5.79
2022-12-26 00:00:00,5.81
2022-12-27 00:00:00,5.73
2022-12-28 00:00:00,6.49
2022-12-29 00:00:00,7.1
2022-12-30 00:00:00,9.01
2022-12-31 00:00:00,7.64
2022-12-01 00:30:00,8.45
2022-12-02 00:30:00,9.4
2022-12-03 00:30:00,7.86
2022-12-04 00:30:00,6.04
2022-12-05 00:30:00,6.39
2022-12-06 00:30:00,8.45
2022-12-07 00:30:00,6.45
2022-12-08 00:30:00,5.99
2022-12-09 00:30:00,7.02
2022-12-10 00:30:00,6.03
2022-12-11 00:30:00,5.98
2022-12-12 00:30:00,5.88
2022-12-13 00:30:00,8.2
2022-12-14 00:30:00,6.2
2022-12-15 00:30:00,11.45
2022-12-16 00:30:00,6.21
2022-12-17 00:30:00,8.64
2022-12-18 00:30:00,8.0
2022-12-19 00:30:00,6.68
2022-12-20 00:30:00,6.67
2022-12-21 00:30:00,7.3
2022-12-22 00:30:00,5.95
2022-12-23 00:30:00,6.45
2022-12-24 00:30:00,5.72
2022-12-25 00:30:00,5.82
2022-12-26 00:30:00,5.77
2022-12-27 00:30:00,6.22
2022-12-28 00:30:00,6.5
2022-12-29 00:30:00,7.03
2022-12-30 00:30:00,8.45
2022-12-31 00:30:00,7.58
2022-12-01 01:00:00,8.11
2022-12-02 01:00:00,9.54
2022-12-03 01:00:00,7.42
2022-12-04 01:00:00,6.09
2022-12-05 01:00:00,5.77
2022-12-06 01:00:00,8.33
2022-12-07 01:00:00,6.42
2022-12-08 01:00:00,5.69
2022-12-09 01:00:00,6.83
2022-12-10 01:00:00,6.3
2022-12-11 01:00:00,5.85
2022-12-12 01:00:00,5.72
2022-12-13 01:00:00,8.09
2022-12-14 01:00:00,5.88
2022-12-15 01:00:00,11.23
2022-12-16 01:00:00,6.07
2022-12-17 01:00:00,8.45
2022-12-18 01:00:00,8.77
2022-12-19 01:00:00,5.98
2022-12-20 01:00:00,6.55
2022-12-21 01:00:00,7.16
2022-12-22 01:00:00,5.87
2022-12-23 01:00:00,5.84
2022-12-24 01:00:00,5.58
2022-12-25 01:00:00,5.64
2022-12-26 01:00:00,5.64
2022-12-27 01:00:00,5.44
2022-12-28 01:00:00,6.74
2022-12-29 01:00:00,7.39
2022-12-30 01:00:00,8.27
2022-12-31 01:00:00,7.42
2022-12-01 01:30:00,8.11
2022-12-02 01:30:00,10.34
2022-12-03 01:30:00,7.41
2022-12-04 01:30:00,6.01
2022-12-05 01:30:00,5.86
2022-12-06 01:30:00,8.91
2022-12-07 01:30:00,6.35
2022-12-08 01:30:00,5.75
2022-12-09 01:30:00,6.66
2022-12-10 01:30:00,6.47
2022-12-11 01:30:00,5.77
2022-12-12 01:30:00,5.86
2022-12-13 01:30:00,9.01
2022-12-14 01:30:00,6.06
2022-12-15 01:30:00,10.85
2022-12-16 01:30:00,6.08
2022-12-17 01:30:00,8.12
2022-12-18 01:30:00,8.05
2022-12-19 01:30:00,5.93
2022-12-20 01:30:00,6.57
2022-12-21 01:30:00,7.16
2022-12-22 01:30:00,6.43
2022-12-23 01:30:00,5.86
2022-12-24 01:30:00,6.01
2022-12-25 01:30:00,5.69
2022-12-26 01:30:00,6.29
2022-12-27 01:30:00,5.56
2022-12-28 01:30:00,6.26
2022-12-29 01:30:00,7.15
2022-12-30 01:30:00,8.22
2022-12-31 01:30:00,7.46
2022-12-01 02:00:00,8.4
2022-12-02 02:00:00,10.23
2022-12-03 02:00:00,7.56
2022-12-04 02:00:00,5.96
2022-12-05 02:00:00,6.22
2022-12-06 02:00:00,8.45
2022-12-07 02:00:00,6.36
2022-12-08 02:00:00,6.3
2022-12-09 02:00:00,6.87
2022-12-10 02:00:00,5.89
2022-12-11 02:00:00,5.78
2022-12-12 02:00:00,5.92
2022-12-13 02:00:00,8.15
2022-12-14 02:00:00,5.99
2022-12-15 02:00:00,8.85
2022-12-16 02:00:00,6.29
2022-12-17 02:00:00,8.37
2022-12-18 02:00:00,7.97
2022-12-19 02:00:00,5.97
2022-12-20 02:00:00,6.68
2022-12-21 02:00:00,7.47
2022-12-22 02:00:00,5.98
2022-12-23 02:00:00,5.83
2022-12-24 02:00:00,6.01
2022-12-25 02:00:00,5.69
2022-12-26 02:00:00,5.74
2022-12-27 02:00:00,5.56
2022-12-28 02:00:00,6.04
2022-12-29 02:00:00,7.27
2022-12-30 02:00:00,8.33
2022-12-31 02:00:00,7.87
2022-12-01 02:30:00,8.32
2022-12-02 02:30:00,9.85
2022-12-03 02:30:00,7.63
2022-12-04 02:30:00,6.31
2022-12-05 02:30:00,6.37
2022-12-06 02:30:00,8.52
2022-12-07 02:30:00,6.42
2022-12-08 02:30:00,6.6
2022-12-09 02:30:00,7.43
2022-12-10 02:30:00,6.38
2022-12-11 02:30:00,6.16
2022-12-12 02:30:00,6.19
2022-12-13 02:30:00,8.19
2022-12-14 02:30:00,6.02
2022-12-15 02:30:00,8.88
2022-12-16 02:30:00,6.07
2022-12-17 02:30:00,8.1
2022-12-18 02:30:00,8.0
2022-12-19 02:30:00,5.96
2022-12-20 02:30:00,6.54
2022-12-21 02:30:00,7.0
2022-12-22 02:30:00,5.83
2022-12-23 02:30:00,5.78
2022-12-24 02:30:00,5.58
2022-12-25 02:30:00,5.64
2022-12-26 02:30:00,5.63
2022-12-27 02:30:00,5.47
2022-12-28 02:30:00,5.58
2022-12-29 02:30:00,6.97
2022-12-30 02:30:00,8.27
2022-12-31 02:30:00,7.44
2022-12-01 03:00:00,8.94
2022-12-02 03:00:00,10.0
2022-12-03 03:00:00,7.78
2022-12-04 03:00:00,6.67
2022-12-05 03:00:00,5.86
2022-12-06 03:00:00,8.98
2022-12-07 03:00:00,6.69
2022-12-08 03:00:00,6.92
2022-12-09 03:00:00,7.44
2022-12-10 03:00:00,6.48
2022-12-11 03:00:00,6.34
2022-12-12 03:00:00,6.5
2022-12-13 03:00:00,8.85
2022-12-14 03:00:00,6.61
2022-12-15 03:00:00,7.74
2022-12-16 03:00:00,6.67
2022-12-17 03:00:00,8.08
2022-12-18 03:00:00,7.93
2022-12-19 03:00:00,5.93
2022-12-20 03:00:00,6.68
2022-12-21 03:00:00,7.14
2022-12-22 03:00:00,6.47
2022-12-23 03:00:00,6.15
2022-12-24 03:00:00,5.68
2022-12-25 03:00:00,5.65
2022-12-26 03:00:00,5.6
2022-12-27 03:00:00,5.6
2022-12-28 03:00:00,5.68
2022-12-29 03:00:00,6.94
2022-12-30 03:00:00,8.31
2022-12-31 03:00:00,7.49
2022-12-01 03:30:00,8.3
2022-12-02 03:30:00,10.08
2022-12-03 03:30:00,7.97
2022-12-04 03:30:00,6.87
2022-12-05 03:30:00,6.18
2022-12-06 03:30:00,8.82
2022-12-07 03:30:00,7.36
2022-12-08 03:30:00,6.12
2022-12-09 03:30:00,6.8
2022-12-10 03:30:00,5.87
2022-12-11 03:30:00,5.8
2022-12-12 03:30:00,6.89
2022-12-13 03:30:00,8.05
2022-12-14 03:30:00,5.93
2022-12-15 03:30:00,6.51
2022-12-16 03:30:00,6.15
2022-12-17 03:30:00,8.09
2022-12-18 03:30:00,7.98
2022-12-19 03:30:00,5.98
2022-12-20 03:30:00,6.68
2022-12-21 03:30:00,7.15
2022-12-22 03:30:00,5.96
2022-12-23 03:30:00,6.01
2022-12-24 03:30:00,5.67
2022-12-25 03:30:00,6.17
2022-12-26 03:30:00,5.68
