Datetime,RPS Price
2023-01-23 00:00:00,8.52
2023-01-24 00:00:00,8.56
2023-01-25 00:00:00,8.69
2023-01-26 00:00:00,7.52
2023-01-27 00:00:00,9.4
2023-01-28 00:00:00,8.19
2023-01-29 00:00:00,9.02
2023-01-30 00:00:00,8.19
2023-01-31 00:00:00,11.85
2023-01-23 00:30:00,9.1
2023-01-24 00:30:00,7.19
2023-01-25 00:30:00,7.36
2023-01-26 00:30:00,8.19
2023-01-27 00:30:00,8.11
2023-01-28 00:30:00,8.98
2023-01-29 00:30:00,9.89
2023-01-30 00:30:00,8.9
2023-01-31 00:30:00,9.1
2023-01-23 01:00:00,6.4
2023-01-24 01:00:00,8.31
2023-01-25 01:00:00,8.77
2023-01-26 01:00:00,9.1
2023-01-27 01:00:00,8.23
2023-01-28 01:00:00,10.02
2023-01-29 01:00:00,9.56
2023-01-30 01:00:00,8.61
2023-01-31 01:00:00,9.81
2023-01-23 01:30:00,7.4
2023-01-24 01:30:00,6.07
2023-01-25 01:30:00,6.15
2023-01-26 01:30:00,8.23
2023-01-27 01:30:00,8.31
2023-01-28 01:30:00,9.35
2023-01-29 01:30:00,9.23
2023-01-30 01:30:00,9.27
2023-01-31 01:30:00,7.86
2023-01-23 02:00:00,6.36
2023-01-24 02:00:00,8.23
2023-01-25 02:00:00,7.52
2023-01-26 02:00:00,7.23
2023-01-27 02:00:00,7.86
2023-01-28 02:00:00,10.27
2023-01-29 02:00:00,7.44
2023-01-30 02:00:00,8.48
2023-01-31 02:00:00,10.14
2023-01-23 02:30:00,6.4
2023-01-24 02:30:00,5.99
2023-01-25 02:30:00,8.48
2023-01-26 02:30:00,6.78
2023-01-27 02:30:00,7.86
2023-01-28 02:30:00,10.02
2023-01-29 02:30:00,7.65
2023-01-30 02:30:00,8.65
2023-01-31 02:30:00,8.9
2023-01-23 03:00:00,7.15
2023-01-24 03:00:00,5.99
2023-01-25 03:00:00,9.35
2023-01-26 03:00:00,7.86
2023-01-27 03:00:00,9.81
2023-01-28 03:00:00,9.94
2023-01-29 03:00:00,10.31
2023-01-30 03:00:00,7.61
2023-01-31 03:00:00,9.48
2023-01-23 03:30:00,6.82
2023-01-24 03:30:00,8.02
2023-01-25 03:30:00,8.19
2023-01-26 03:30:00,7.52
2023-01-27 03:30:00,8.52
2023-01-28 03:30:00,8.48
2023-01-29 03:30:00,9.64
2023-01-30 03:30:00,9.69
2023-01-31 03:30:00,9.64
2023-01-23 04:00:00,7.86
2023-01-24 04:00:00,6.78
2023-01-25 04:00:00,7.36
2023-01-26 04:00:00,8.19
2023-01-27 04:00:00,9.52
2023-01-28 04:00:00,9.06
2023-01-29 04:00:00,8.56
2023-01-30 04:00:00,8.85
2023-01-31 04:00:00,10.14
2023-01-23 04:30:00,5.86
2023-01-24 04:30:00,8.06
2023-01-25 04:30:00,7.28
2023-01-26 04:30:00,8.06
2023-01-27 04:30:00,8.98
2023-01-28 04:30:00,7.9
2023-01-29 04:30:00,9.02
2023-01-30 04:30:00,7.98
2023-01-31 04:30:00,8.48
2023-01-23 05:00:00,8.06
2023-01-24 05:00:00,7.32
2023-01-25 05:00:00,8.19
2023-01-26 05:00:00,9.27
2023-01-27 05:00:00,8.44
2023-01-28 05:00:00,7.86
2023-01-29 05:00:00,8.56
2023-01-30 05:00:00,8.9
2023-01-31 05:00:00,8.69
2023-01-23 05:30:00,6.57
2023-01-24 05:30:00,7.82
2023-01-25 05:30:00,6.65
2023-01-26 05:30:00,7.86
2023-01-27 05:30:00,7.57
2023-01-28 05:30:00,7.73
2023-01-29 05:30:00,8.73
2023-01-30 05:30:00,8.19
2023-01-31 05:30:00,8.48
2023-01-23 06:00:00,6.07
2023-01-24 06:00:00,7.36
2023-01-25 06:00:00,6.78
2023-01-26 06:00:00,7.4
2023-01-27 06:00:00,10.73
2023-01-28 06:00:00,8.56
2023-01-29 06:00:00,8.94
2023-01-30 06:00:00,8.19
2023-01-31 06:00:00,8.23
2023-01-23 06:30:00,6.73
2023-01-24 06:30:00,8.73
2023-01-25 06:30:00,7.98
2023-01-26 06:30:00,9.6
2023-01-27 06:30:00,9.69
2023-01-28 06:30:00,8.9
2023-01-29 06:30:00,8.73
2023-01-30 06:30:00,11.22
2023-01-31 06:30:00,8.73
2023-01-23 07:00:00,6.61
2023-01-24 07:00:00,9.02
2023-01-25 07:00:00,9.06
2023-01-26 07:00:00,11.56
2023-01-27 07:00:00,11.1
2023-01-28 07:00:00,8.85
2023-01-29 07:00:00,7.48
2023-01-30 07:00:00,10.48
2023-01-31 07:00:00,11.02
2023-01-23 07:30:00,6.94
2023-01-24 07:30:00,11.06
2023-01-25 07:30:00,11.93
2023-01-26 07:30:00,10.64
2023-01-27 07:30:00,11.1
2023-01-28 07:30:00,10.68
2023-01-29 07:30:00,7.82
2023-01-30 07:30:00,10.73
2023-01-31 07:30:00,13.01
2023-01-23 08:00:00,7.82
2023-01-24 08:00:00,12.14
2023-01-25 08:00:00,10.35
2023-01-26 08:00:00,10.81
2023-01-27 08:00:00,9.35
2023-01-28 08:00:00,11.76
2023-01-29 08:00:00,10.64
2023-01-30 08:00:00,13.84
2023-01-31 08:00:00,11.35
2023-01-23 08:30:00,7.82
2023-01-24 08:30:00,14.43
2023-01-25 08:30:00,12.8
2023-01-26 08:30:00,11.39
2023-01-27 08:30:00,10.56
2023-01-28 08:30:00,9.27
2023-01-29 08:30:00,10.93
2023-01-30 08:30:00,12.89
2023-01-31 08:30:00,14.55
2023-01-23 09:00:00,7.15
2023-01-24 09:00:00,11.14
2023-01-25 09:00:00,13.14
2023-01-26 09:00:00,12.85
2023-01-27 09:00:00,10.85
2023-01-28 09:00:00,11.68
2023-01-29 09:00:00,8.23
2023-01-30 09:00:00,12.8
2023-01-31 09:00:00,15.67
2023-01-23 09:30:00,8.94
2023-01-24 09:30:00,11.47
2023-01-25 09:30:00,9.48
2023-01-26 09:30:00,11.89
2023-01-27 09:30:00,12.43
2023-01-28 09:30:00,9.31
2023-01-29 09:30:00,8.56
2023-01-30 09:30:00,12.06
2023-01-31 09:30:00,14.72
2023-01-23 10:00:00,10.93
2023-01-24 10:00:00,11.31
2023-01-25 10:00:00,10.19
2023-01-26 10:00:00,10.19
2023-01-27 10:00:00,12.8
2023-01-28 10:00:00,10.35
2023-01-29 10:00:00,8.98
2023-01-30 10:00:00,14.22
2023-01-31 10:00:00,16.05
2023-01-23 10:30:00,7.94
2023-01-24 10:30:00,14.01
2023-01-25 10:30:00,10.68
2023-01-26 10:30:00,14.09
2023-01-27 10:30:00,15.42
2023-01-28 10:30:00,11.64
2023-01-29 10:30:00,9.44
2023-01-30 10:30:00,13.43
2023-01-31 10:30:00,17.0
2023-01-23 11:00:00,9.6
2023-01-24 11:00:00,13.76
2023-01-25 11:00:00,9.48
2023-01-26 11:00:00,15.01
2023-01-27 11:00:00,17.58
2023-01-28 11:00:00,9.73
2023-01-29 11:00:00,10.31
2023-01-30 11:00:00,11.81
2023-01-31 11:00:00,15.63
2023-01-23 11:30:00,9.52
2023-01-24 11:30:00,15.13
2023-01-25 11:30:00,13.84
2023-01-26 11:30:00,18.25
2023-01-27 11:30:00,15.22
2023-01-28 11:30:00,12.68
2023-01-29 11:30:00,10.43
2023-01-30 11:30:00,13.64
2023-01-31 11:30:00,17.13
2023-01-23 12:00:00,7.98
2023-01-24 12:00:00,17.5
2023-01-25 12:00:00,12.14
2023-01-26 12:00:00,21.41
2023-01-27 12:00:00,12.76
2023-01-28 12:00:00,10.64
2023-01-29 12:00:00,8.31
2023-01-30 12:00:00,11.68
2023-01-31 12:00:00,16.92
2023-01-23 12:30:00,9.27
2023-01-24 12:30:00,15.96
2023-01-25 12:30:00,15.51
2023-01-26 12:30:00,16.13
2023-01-27 12:30:00,12.22
2023-01-28 12:30:00,10.64
2023-01-29 12:30:00,10.43
2023-01-30 12:30:00,15.71
2023-01-31 12:30:00,19.25
2023-01-23 13:00:00,8.15
2023-01-24 13:00:00,14.51
2023-01-25 13:00:00,13.22
2023-01-26 13:00:00,12.47
2023-01-27 13:00:00,12.51
2023-01-28 13:00:00,10.27
2023-01-29 13:00:00,11.52
2023-01-30 13:00:00,11.81
2023-01-31 13:00:00,16.46
2023-01-23 13:30:00,6.78
2023-01-24 13:30:00,13.43
2023-01-25 13:30:00,12.18
2023-01-26 13:30:00,12.1
2023-01-27 13:30:00,11.56
2023-01-28 13:30:00,12.55
2023-01-29 13:30:00,8.77
2023-01-30 13:30:00,11.72
2023-01-31 13:30:00,17.29
2023-01-23 14:00:00,6.94
2023-01-24 14:00:00,13.51
2023-01-25 14:00:00,14.97
2023-01-26 14:00:00,11.72
2023-01-27 14:00:00,10.52
2023-01-28 14:00:00,9.94
2023-01-29 14:00:00,7.9
2023-01-30 14:00:00,10.98
2023-01-31 14:00:00,16.09
2023-01-23 14:30:00,7.77
2023-01-24 14:30:00,12.43
2023-01-25 14:30:00,14.76
2023-01-26 14:30:00,13.14
2023-01-27 14:30:00,13.26
2023-01-28 14:30:00,10.68
2023-01-29 14:30:00,8.69
2023-01-30 14:30:00,14.01
2023-01-31 14:30:00,17.46
2023-01-23 15:00:00,8.36
2023-01-24 15:00:00,10.98
2023-01-25 15:00:00,17.34
2023-01-26 15:00:00,16.55
2023-01-27 15:00:00,12.18
2023-01-28 15:00:00,9.4
2023-01-29 15:00:00,9.56
2023-01-30 15:00:00,13.26
2023-01-31 15:00:00,14.92
2023-01-23 15:30:00,6.98
2023-01-24 15:30:00,10.73
2023-01-25 15:30:00,16.75
2023-01-26 15:30:00,17.58
2023-01-27 15:30:00,10.98
2023-01-28 15:30:00,8.94
2023-01-29 15:30:00,9.94
2023-01-30 15:30:00,13.18
2023-01-31 15:30:00,13.68
2023-01-23 16:00:00,7.69
2023-01-24 16:00:00,12.43
2023-01-25 16:00:00,12.31
2023-01-26 16:00:00,13.97
2023-01-27 16:00:00,10.89
2023-01-28 16:00:00,9.85
2023-01-29 16:00:00,8.15
2023-01-30 16:00:00,13.51
2023-01-31 16:00:00,13.18
2023-01-23 16:30:00,7.19
2023-01-24 16:30:00,12.72
2023-01-25 16:30:00,11.97
2023-01-26 16:30:00,11.6
2023-01-27 16:30:00,8.52
2023-01-28 16:30:00,9.48
2023-01-29 16:30:00,9.85
2023-01-30 16:30:00,11.68
2023-01-31 16:30:00,11.39
2023-01-23 17:00:00,6.4
2023-01-24 17:00:00,7.69
2023-01-25 17:00:00,9.6
2023-01-26 17:00:00,10.89
2023-01-27 17:00:00,8.06
2023-01-28 17:00:00,7.57
2023-01-29 17:00:00,7.82
2023-01-30 17:00:00,10.27
2023-01-31 17:00:00,12.51
2023-01-23 17:30:00,7.94
2023-01-24 17:30:00,8.23
2023-01-25 17:30:00,8.15
2023-01-26 17:30:00,9.06
2023-01-27 17:30:00,9.4
2023-01-28 17:30:00,10.31
2023-01-29 17:30:00,10.85
2023-01-30 17:30:00,8.61
2023-01-31 17:30:00,9.81
2023-01-23 18:00:00,7.36
2023-01-24 18:00:00,8.56
2023-01-25 18:00:00,9.52
2023-01-26 18:00:00,9.23
2023-01-27 18:00:00,9.81
2023-01-28 18:00:00,9.19
2023-01-29 18:00:00,7.73
2023-01-30 18:00:00,10.14
2023-01-31 18:00:00,11.14
2023-01-23 18:30:00,7.86
2023-01-24 18:30:00,6.86
2023-01-25 18:30:00,9.64
2023-01-26 18:30:00,9.89
2023-01-27 18:30:00,9.02
2023-01-28 18:30:00,8.02
2023-01-29 18:30:00,7.57
2023-01-30 18:30:00,8.44
2023-01-31 18:30:00,10.73
2023-01-23 19:00:00,6.11
2023-01-24 19:00:00,6.44
2023-01-25 19:00:00,8.36
2023-01-26 19:00:00,9.6
2023-01-27 19:00:00,8.98
2023-01-28 19:00:00,9.48
2023-01-29 19:00:00,7.77
2023-01-30 19:00:00,10.06
2023-01-31 19:00:00,13.22
2023-01-23 19:30:00,8.02
2023-01-24 19:30:00,7.52
2023-01-25 19:30:00,8.19
2023-01-26 19:30:00,11.31
2023-01-27 19:30:00,9.48
2023-01-28 19:30:00,9.4
2023-01-29 19:30:00,9.69
2023-01-30 19:30:00,9.31
2023-01-31 19:30:00,11.27
2023-01-23 20:00:00,9.1
2023-01-24 20:00:00,6.98
2023-01-25 20:00:00,10.68
2023-01-26 20:00:00,9.6
2023-01-27 20:00:00,8.19
2023-01-28 20:00:00,9.44
2023-01-29 20:00:00,9.6
2023-01-30 20:00:00,10.23
2023-01-31 20:00:00,9.23
2023-01-23 20:30:00,7.4
2023-01-24 20:30:00,6.49
2023-01-25 20:30:00,8.23
2023-01-26 20:30:00,11.06
2023-01-27 20:30:00,9.48
2023-01-28 20:30:00,9.31
2023-01-29 20:30:00,8.77
2023-01-30 20:30:00,9.19
2023-01-31 20:30:00,10.02
2023-01-23 21:00:00,7.77
2023-01-24 21:00:00,7.94
2023-01-25 21:00:00,8.11
2023-01-26 21:00:00,8.94
2023-01-27 21:00:00,9.31
2023-01-28 21:00:00,7.77
2023-01-29 21:00:00,9.6
2023-01-30 21:00:00,8.06
2023-01-31 21:00:00,9.56
2023-01-23 21:30:00,8.9
2023-01-24 21:30:00,6.73
2023-01-25 21:30:00,7.15
2023-01-26 21:30:00,9.06
2023-01-27 21:30:00,7.28
2023-01-28 21:30:00,7.19
2023-01-29 21:30:00,9.89
2023-01-30 21:30:00,9.06
2023-01-31 21:30:00,11.1
2023-01-23 22:00:00,7.94
2023-01-24 22:00:00,6.53
2023-01-25 22:00:00,9.27
2023-01-26 22:00:00,10.6
2023-01-27 22:00:00,8.11
2023-01-28 22:00:00,9.27
2023-01-29 22:00:00,9.23
2023-01-30 22:00:00,9.1
2023-01-31 22:00:00,8.61
